iter	Logloss
0	0.6507541601
1	0.6114315332
2	0.5775884481
3	0.5513611325
4	0.5219794003
5	0.4990780644
6	0.4782734419
7	0.4617649427
8	0.4437754292
9	0.4299877357
10	0.4169989337
11	0.4026681523
12	0.3935125786
13	0.3819451309
14	0.3733916014
15	0.3625668773
16	0.3561052092
17	0.3492994999
18	0.343930315
19	0.337334138
20	0.3298338711
21	0.3247171898
22	0.3209167731
23	0.3167971997
24	0.3126149237
25	0.3092747256
26	0.3063684518
27	0.3027378548
28	0.3007371818
29	0.2975969458
30	0.2940975386
31	0.2922917213
32	0.2892328299
33	0.2876509713
34	0.2847838392
35	0.2830012587
36	0.2811995445
37	0.2795237982
38	0.2777156772
39	0.2761780967
40	0.2746172703
41	0.2732307662
42	0.2719293821
43	0.2704384044
44	0.2681483774
45	0.2667633769
46	0.2652065007
47	0.2635476082
48	0.26150301
49	0.2604373336
50	0.2586309198
51	0.2564502395
52	0.2553111373
53	0.2538615747
54	0.252657276
55	0.2512167503
56	0.2496972815
57	0.2484325398
58	0.247523524
59	0.2464431822
60	0.2452364138
61	0.2443462359
62	0.2431444817
63	0.2418210111
64	0.2415135403
65	0.2405534174
66	0.239163604
67	0.238327244
68	0.2370520897
69	0.2362863416
70	0.2349628795
71	0.2339187393
72	0.2331235478
73	0.2320315673
74	0.2310533201
75	0.2305375286
76	0.2295784398
77	0.2284829587
78	0.2276559801
79	0.226848702
80	0.2257964089
81	0.2248573226
82	0.2238783745
83	0.2231911698
84	0.2223916353
85	0.2215275325
86	0.2206064969
87	0.2198928234
88	0.219300606
89	0.2180903609
90	0.2174017414
91	0.2168339317
92	0.2161386743
93	0.2151505452
94	0.2143082393
95	0.2137948131
96	0.2130911221
97	0.2123337096
98	0.2118040046
99	0.2110512361
100	0.20988829
101	0.2092507166
102	0.2086810338
103	0.2080239626
104	0.2073993655
105	0.2064453108
106	0.2058750497
107	0.2052788116
108	0.2044933791
109	0.2041192564
110	0.2035619936
111	0.2030839723
112	0.202390518
113	0.2017515567
114	0.2005833172
115	0.2000538014
116	0.1996462411
117	0.199261356
118	0.1985590686
119	0.1978560241
120	0.1973283143
121	0.1965007077
122	0.1959426273
123	0.1954232763
124	0.1946186038
125	0.1938028063
126	0.1929847271
127	0.1925007121
128	0.1919774051
129	0.1915843876
130	0.1906585257
131	0.1899909823
132	0.1894135551
133	0.1887279953
134	0.1882728412
135	0.1877041202
136	0.1871436477
137	0.1860090987
138	0.185168309
139	0.1839364882
140	0.1834997946
141	0.1827127376
142	0.1822792351
143	0.181569004
144	0.1810988536
145	0.1804155144
146	0.179813975
147	0.1796609365
148	0.179420228
149	0.1787848868
150	0.1785434831
151	0.1778554579
152	0.1771127101
153	0.1767356415
154	0.1761304405
155	0.1757132162
156	0.1753935
157	0.1748019472
158	0.1743436322
159	0.1739375075
160	0.1732213657
161	0.1727923135
162	0.1725286556
163	0.1720366522
164	0.1710274148
165	0.1699336054
166	0.1695058537
167	0.1685679877
168	0.1683764139
169	0.1679085606
170	0.1671508282
171	0.1666295941
172	0.1660050944
173	0.1655219371
174	0.1649995231
175	0.1647909046
176	0.1642595797
177	0.1637525494
178	0.1634383638
179	0.1631635204
180	0.1628497092
181	0.162075034
182	0.1617883781
183	0.1612846325
184	0.1605392977
185	0.1596790416
186	0.1590412607
187	0.158382249
188	0.1575481246
189	0.1568694928
190	0.15625049
191	0.1556732524
192	0.1551872216
193	0.1547741302
194	0.1542161071
195	0.1535688669
196	0.1526297989
197	0.1516840091
198	0.1507421405
199	0.1501995586
200	0.149308965
201	0.1489997096
202	0.1485977842
203	0.1479267512
204	0.1474574382
205	0.1470091012
206	0.1467404947
207	0.1462874976
208	0.1457406334
209	0.1454231351
210	0.1447219298
211	0.144218855
212	0.143560524
213	0.1429236902
214	0.1425428577
215	0.1419314726
216	0.1413501287
217	0.1406754658
218	0.1403057898
219	0.1401096858
220	0.1398572927
221	0.1394669029
222	0.1390456187
223	0.1382843593
224	0.1380785666
225	0.1378950772
226	0.1373425718
227	0.1367501599
228	0.13617778
229	0.1358039195
230	0.1350049219
231	0.1340508239
232	0.1336159179
233	0.1331355662
234	0.1323670074
235	0.1318387959
236	0.1314949324
237	0.130885026
238	0.1305640007
239	0.130314844
240	0.1297775027
241	0.1293826339
242	0.1287730186
243	0.1283983501
244	0.1279455196
245	0.1273786377
246	0.1271862976
247	0.1267348428
248	0.1260110268
249	0.1258226217
